Date,Rep,Whoop Recovery,Whoop Sleep,Whoop Sleep %,Workout time,Weather (F),Weight (lbs)
2020-08-03,3.02,0.75,8:15,97%,7:12,60,193.4
2020-08-03,3,0.75,8:15,97%,7:12,60,193.4
2020-08-03,3.04,0.75,8:15,97%,7:12,60,193.4
2020-08-14,3.09,0.87,7:53,100%,7:04,74,193.6
2020-08-14,3.05,0.87,7:53,100%,7:04,74,193.6
2020-08-14,3.04,0.87,7:53,100%,7:04,74,193.6
2020-08-14,3,0.87,7:53,100%,7:04,74,193.6
2020-08-17,3.09,0.64,7:56,97%,7:12,75,195.4
2020-08-17,3.09,0.64,7:56,97%,7:12,75,195.4
2020-08-17,3.08,0.64,7:56,97%,7:12,75,195.4
2020-08-17,3.12,0.64,7:56,97%,7:12,75,195.4
2020-08-26,3.11,0.67,8:37,100%,7:16,60,195.2
2020-08-26,3.06,0.67,8:37,100%,7:16,60,195.2
2020-08-26,3,0.67,8:37,100%,7:16,60,195.2
2020-08-26,3.07,0.67,8:37,100%,7:16,60,195.2
2020-08-26,3.04,0.67,8:37,100%,7:16,60,195.2
2020-09-04,3.05,0.61,8:31,100%,7:06,58,194
2020-09-04,3.07,0.61,8:31,100%,7:06,58,194
2020-09-04,3.05,0.61,8:31,100%,7:06,58,194
2020-09-04,3.08,0.61,8:31,100%,7:06,58,194
2020-09-07,3.05,0.61,6:51,86%,7:00,71,194.8
2020-09-07,3.05,0.61,6:51,86%,7:00,71,194.8
2020-09-07,3.01,0.61,6:51,86%,7:00,71,194.8
2020-09-07,3.02,0.61,6:51,86%,7:00,71,194.8
2020-09-09,3.07,0.74,8:23,100%,7:13,64,195.6
2020-09-09,3.01,0.74,8:23,100%,7:13,64,195.6
2020-09-09,3,0.74,8:23,100%,7:13,64,195.6
2020-09-19,3.06,0.46,8:16,100%,7:24,59,195.2
2020-09-19,3.01,0.46,8:16,100%,7:24,59,195.2
2020-09-19,2.97,0.46,8:16,100%,7:24,59,195.2
2020-09-21,3.07,0.22,5:26,67%,8:01,62,196.4
2020-09-21,3.06,0.22,5:26,67%,8:01,62,196.4
2020-10-12,3.04,0.33,8:00,97%,5:42,54,193.4
2020-10-12,3.05,0.33,8:00,97%,5:42,54,193.4
2020-10-12,3.08,0.33,8:00,97%,5:42,54,193.4
2020-11-09,3.12,0.91,8:12,100%,6:43,33,192.2
2020-11-09,3.19,0.91,8:12,100%,6:43,33,192.2
2020-11-09,3.2,0.91,8:12,100%,6:43,33,192.2
2020-11-11,3.1,0.69,8:46,100%,8:55,52,192.4
2020-11-11,3.04,0.69,8:46,100%,8:55,52,192.4
2020-11-11,3,0.69,8:46,100%,8:55,52,192.4
2020-11-11,3.07,0.69,8:46,100%,8:55,52,192.4
2020-11-11,2.99,0.69,8:46,100%,8:55,52,192.4
2020-11-11,3.07,0.69,8:46,100%,8:55,52,192.4
2020-11-14,3.06,0.45,6:29,80%,7:45,48,193.2
2020-11-14,3.04,0.45,6:29,80%,7:45,48,193.2
2020-11-14,3.04,0.45,6:29,80%,7:45,48,193.2
2020-11-14,3.03,0.45,6:29,80%,7:45,48,193.2
2020-11-14,3.09,0.45,6:29,80%,7:45,48,193.2
2020-11-16,3.04,0.47,8:06,96%,5:57,46,194.4
2020-11-16,3.11,0.47,8:06,96%,5:57,46,194.4
2020-11-16,3.12,0.47,8:06,96%,5:57,46,194.4
2020-11-30,3.16,0.48,7:10,85%,6:05,36,196.4
2020-11-30,3.17,0.48,7:10,85%,6:05,36,196.4
2020-11-30,3.09,0.48,7:10,85%,6:05,36,196.4
2020-11-30,3.05,0.48,7:10,85%,6:05,36,196.4
2020-12-07,3.04,0.92,7:55,93%,6:14,55,195.4
2020-12-07,3.05,0.92,7:55,93%,6:14,55,195.4
2020-12-07,2.96,0.92,7:55,93%,6:14,55,195.4
2020-12-07,3.06,0.92,7:55,93%,6:14,55,195.4
2020-12-11,3.08,0.47,7:57,97%,6:03,43,195.2
2020-12-11,3.03,0.47,7:57,97%,6:03,43,195.2
2020-12-11,3.05,0.47,7:57,97%,6:03,43,195.2
2020-12-11,3.05,0.47,7:57,97%,6:03,43,195.2
2020-12-11,3.02,0.47,7:57,97%,6:03,43,195.2
2020-12-11,3.05,0.47,7:57,97%,6:03,43,195.2
2020-12-14,3.04,0.74,7:44,97%,6:05,39,196
2020-12-14,3.05,0.74,7:44,97%,6:05,39,196
2020-12-14,3.1,0.74,7:44,97%,6:05,39,196
